date,code,language,url,pages,articles,edits,images,users,activeusers,admins,jobs
2026-07-15,iba,Jaku Iban,https://iba.wikipedia.org,6725,2476,19505,0,2529,20,2,0
2026-07-15,id,Bahasa Indonesia,https://id.wikipedia.org,4206934,785043,29433044,67008,1715580,5235,47,0
2026-07-15,ie,Interlingue,https://ie.wikipedia.org,18006,13708,168318,0,24582,27,1,0
2026-07-15,ig,Igbo,https://ig.wikipedia.org,66398,48040,435598,0,39216,142,5,0
2026-07-15,igl,Igala,https://igl.wikipedia.org,2012,1511,38373,0,1555,16,1,0
2026-07-15,ik,Iñupiatun,https://ik.wikipedia.org,2675,595,40539,0,10416,12,1,0
2026-07-15,ilo,Ilokano,https://ilo.wikipedia.org,70742,15527,405733,0,20144,41,2,0
2026-07-15,inh,гӀалгӀай,https://inh.wikipedia.org,17482,2554,74861,40,6307,18,3,0
2026-07-15,io,Ido,https://io.wikipedia.org,106819,62772,1123475,0,46248,65,4,0
2026-07-15,is,íslenska,https://is.wikipedia.org,161001,61143,1967393,3345,116685,211,11,0
2026-07-15,isv,medžuslovjansky,https://isv.wikipedia.org,4664,1437,27878,0,468,0,4,0
2026-07-15,it,italiano,https://it.wikipedia.org,8861458,1977782,151339303,124209,3079983,25442,102,0
2026-07-15,iu,ᐃᓄᒃᑎᑐᑦ / inuktitut,https://iu.wikipedia.org,3019,434,48878,0,46316,24,2,0
2026-07-15,ja,日本語,https://ja.wikipedia.org,4434086,1510040,110082380,6822,2695511,23899,40,0
2026-07-15,jam,Patois,https://jam.wikipedia.org,3121,1719,22814,0,12481,20,1,0
2026-07-15,jbo,la .lojban.,https://jbo.wikipedia.org,6757,1356,115069,0,19825,22,1,0
2026-07-15,jv,Jawa,https://jv.wikipedia.org,186655,75321,1749180,4343,72925,110,5,0
2026-07-15,ka,ქართული,https://ka.wikipedia.org,807833,197305,5439389,15984,183227,338,6,0
2026-07-15,kaa,Qaraqalpaqsha,https://kaa.wikipedia.org,43682,15450,264823,90,16223,26,4,0
2026-07-15,kab,Taqbaylit,https://kab.wikipedia.org,18192,7147,116709,0,16733,22,1,0
2026-07-15,kai,Karai-karai,https://kai.wikipedia.org,4042,1722,13824,0,458,15,2,0
2026-07-15,kaj,Jju,https://kaj.wikipedia.org,1164,299,24318,0,655,15,2,0
2026-07-15,kbd,адыгэбзэ,https://kbd.wikipedia.org,7129,1669,48803,0,11613,17,2,0
2026-07-15,kbp,Kabɩyɛ,https://kbp.wikipedia.org,3450,1714,18630,0,5942,8,1,0
2026-07-15,kcg,Tyap,https://kcg.wikipedia.org,7596,1873,47602,1,2948,15,2,0
2026-07-15,kg,Kongo,https://kg.wikipedia.org,4433,1954,52540,0,12970,18,1,0
