wikimedia_language_code,bcp47_tag,bcp47_primary_language,iso_639_1,iso_639_2_bibliographic,iso_639_2_terminologic,iso_639_3,iso_scope,iso_language_type,iso_reference_name,mapping_type,mapping_confidence,mapping_note,language_name_english,language_name_native,wikipedia_url,api_url,analytics_project,database_name,site_name,status,is_active,is_closed,article_count,total_pages,total_edits,registered_users,active_users,administrators,files_local,pageviews_30_days,pageviews_365_days,pageviews_30_start,pageviews_30_end,pageviews_365_start,pageviews_365_end,date_established,date_established_source,statistics_retrieved_at_utc,pageviews_retrieved_at_utc,connector_error
ky,ky,ky,ky,kir,kir,kir,I,L,Kirghiz,iso_registry_crosswalk,high,,кыргызча,Kyrgyz,https://ky.wikipedia.org,https://ky.wikipedia.org/w/api.php,ky.wikipedia,kywiki,Википедия,active,True,False,76490,125155,649701,47943,110,3,2679,447487,16284109,2026-06-19,2026-07-18,2025-07-19,2026-07-18,,,2026-07-19T08:27:19.289904+00:00,2026-07-19T08:27:19.289904+00:00,
pnb,pnb,pnb,,,,pnb,I,L,Western Panjabi,direct_iso_639_3,high,,پنجابی,Western Punjabi,https://pnb.wikipedia.org,https://pnb.wikipedia.org/w/api.php,pnb.wikipedia,pnbwiki,وکیپیڈیا,active,True,False,75624,146437,705827,44373,57,2,31,405627,5667054,2026-06-19,2026-07-18,2025-07-19,2026-07-18,,,2026-07-19T08:28:24.374535+00:00,2026-07-19T08:28:24.374535+00:00,
jv,jv,jv,jv,jav,jav,jav,I,L,Javanese,iso_registry_crosswalk,high,,Jawa,Javanese,https://jv.wikipedia.org,https://jv.wikipedia.org/w/api.php,jv.wikipedia,jvwiki,Wikipédia,active,True,False,75327,186665,1749283,72963,110,5,4343,402816,9110918,2026-06-19,2026-07-18,2025-07-19,2026-07-18,,,2026-07-19T08:27:06.828467+00:00,2026-07-19T08:27:06.828467+00:00,
new,new,new,,new,new,new,I,L,Nepal Bhasa,direct_iso_639_3,high,,नेपाल भाषा,Newari,https://new.wikipedia.org,https://new.wikipedia.org/w/api.php,new.wikipedia,newwiki,Wikipedia,active,True,False,74241,269599,1120874,31240,23,2,0,771339,4690639,2026-06-19,2026-07-18,2025-07-19,2026-07-18,,,2026-07-19T08:28:09.981281+00:00,2026-07-19T08:28:09.981281+00:00,
ht,ht,ht,ht,hat,hat,hat,I,L,Haitian,iso_registry_crosswalk,high,,Kreyòl ayisyen,Haitian Creole,https://ht.wikipedia.org,https://ht.wikipedia.org/w/api.php,ht.wikipedia,htwiki,Wikipedya,active,True,False,72024,93589,881285,39530,67,2,0,246489,4047931,2026-06-19,2026-07-18,2025-07-19,2026-07-18,,,2026-07-19T08:26:28.440089+00:00,2026-07-19T08:26:28.440089+00:00,
pms,pms,pms,,,,pms,I,L,Piemontese,direct_iso_639_3,high,,Piemontèis,Piedmontese,https://pms.wikipedia.org,https://pms.wikipedia.org/w/api.php,pms.wikipedia,pmswiki,Wikipedia,active,True,False,71542,104143,884622,31950,29,4,1810,1687349,12534431,2026-06-19,2026-07-18,2025-07-19,2026-07-18,,,2026-07-19T08:28:23.901234+00:00,2026-07-19T08:28:23.901234+00:00,
vec,vec,vec,,,,vec,I,L,Venetian,direct_iso_639_3,high,,vèneto,Venetian,https://vec.wikipedia.org,https://vec.wikipedia.org/w/api.php,vec.wikipedia,vecwiki,Wikipedia,active,True,False,69618,143560,1228518,42309,43,5,724,703998,23474130,2026-06-19,2026-07-18,2025-07-19,2026-07-18,,,2026-07-19T08:29:32.503539+00:00,2026-07-19T08:29:32.503539+00:00,
lb,lb,lb,lb,ltz,ltz,ltz,I,L,Luxembourgish,iso_registry_crosswalk,high,,Lëtzebuergesch,Luxembourgish,https://lb.wikipedia.org,https://lb.wikipedia.org/w/api.php,lb.wikipedia,lbwiki,Wikipedia,active,True,False,67477,143031,2682767,71799,104,7,2539,948200,11537496,2026-06-19,2026-07-18,2025-07-19,2026-07-18,,,2026-07-19T08:27:20.774703+00:00,2026-07-19T08:27:20.774703+00:00,
mzn,mzn,mzn,,,,mzn,I,L,Mazanderani,direct_iso_639_3,high,,مازِرونی,Mazanderani,https://mzn.wikipedia.org,https://mzn.wikipedia.org/w/api.php,mzn.wikipedia,mznwiki,ویکی‌پدیا,active,True,False,64705,165134,390170,45904,50,4,432,442382,4910742,2026-06-19,2026-07-18,2025-07-19,2026-07-18,,,2026-07-19T08:28:06.466885+00:00,2026-07-19T08:28:06.466885+00:00,
ba,ba,ba,ba,bak,bak,bak,I,L,Bashkir,iso_registry_crosswalk,high,,башҡортса,Bashkir,https://ba.wikipedia.org,https://ba.wikipedia.org/w/api.php,ba.wikipedia,bawiki,Википедия,active,True,False,64288,185145,1300556,48017,77,6,1430,317371,5719875,2026-06-19,2026-07-18,2025-07-19,2026-07-18,,,2026-07-19T08:25:40.678867+00:00,2026-07-19T08:25:40.678867+00:00,
